artist,title,year
"Aaliyah","Aaliyah",2001
"Adele","21",2011
"Against Me!","Transgender Dysphoria Blues",2014
"Alabama Shakes","Sound & Color",2015
"Alanis Morissette","Jagged Little Pill",1995
"Alice Coltrane featuring Pharoah Sanders","Journey in Satchidananda",1971
"Alicia Keys","Songs in A Minor",2001
"Alison Krauss + Union Station","New Favorite",2001
"Amy Winehouse","Back to Black",2006
"Ani DiFranco","Little Plastic Castle",1998
"Anita Baker","Rapture",1986
"Aretha Franklin","Amazing Grace",1972
"Aretha Franklin","I Never Loved a Man the Way I Love You",1967
"Aretha Franklin","Young, Gifted and Black",1972
"Astrud Gilberto","The Astrud Gilberto Album",1965
"Bangles","All Over the Place",1984
"Beyoncé","Lemonade",2016
"Bikini Kill / Huggy Bear","Yeah Yeah Yeah Yeah / Our Troubled Youth",1993
"Björk","Post",1995
"Blondie","Parallel Lines",1978
"Bobbie Gentry","Ode to Billie Joe",1967
"Bonnie Raitt","Nick of Time",1989
"Britney Spears","...Baby One More Time",1999
"Buffy Sainte-Marie","It's My Way!",1964
"Carly Simon","No Secrets",1972
"Carole King","Tapestry",1971
"Carpenters","A Song for You",1972
"Cassandra Wilson","Blue Light 'Til Dawn",1993
"Celia Cruz","Son con guaguancó",1966
"Chaka Khan","I Feel for You",1984
"Cocteau Twins","Heaven or Las Vegas",1990
"Cris Williamson","The Changer and the Changed",1975
"Cyndi Lauper","She's So Unusual",1983
"Destiny's Child","The Writing's on the Wall",1999
"Diamanda Galás","The Litanies of Satan",1982
"Dixie Chicks","Wide Open Spaces",1998
"Dolly Parton","Coat of Many Colors",1971
"Donna Summer","Bad Girls",1979
"Dusty Springfield","Dusty in Memphis",1969
"Ella Fitzgerald","Ella Fitzgerald Sings the Johnny Mercer Song Book",1965
"Emmylou Harris","Wrecking Ball",1995
"Erykah Badu","Baduizm",1997
"ESG","Come Away With ESG",1983
"Etta James","Rocks the House",1964
"Eurythmics","Touch",1983
"Fanny","Fanny Hill",1972
"Fiona Apple","Tidal",1996
"Fleetwood Mac","Rumours",1977
"Gillian Welch","Time (The Revelator)",2001
"Gladys Knight & The Pips","Imagination",1973
"Go-Go's","Beauty and the Beat",1981
"Grace Jones","Nightclubbing",1981
"Heart","Dreamboat Annie",1976
"Hole","Live Through This",1994
"Indigo Girls","Indigo Girls",1989
