artist,title,year
"Avenged Sevenfold","City of Evil",2005
"Evanescence","Fallen",2003
"Sunn O)))","Monoliths & Dimensions",2009
"Gojira","From Mars to Sirius",2005
"Kvelertak","Meir",2013
"Dream Theater","Images and Words",1992
"Deafheaven","Sunbather",2013
"White Zombie","La Sexorcisto: Devil Music Vol. 1",1992
"Eyehategod","Take as Needed for Pain",1993
"Naked City","Torture Garden",1990
"Body Count","Body Count",1992
"Nightwish","Once",2004
"Pig Destroyer","Terrifyer",2004
"Manowar","Hail to England",1984
"Lamb of God","As the Palaces Burn",2003
"Darkthrone","Transilvanian Hunger",1994
"High on Fire","Blessed Black Wings",2005
"Baroness","Red Album",2007
"Entombed","Left Hand Path",1990
"Bathory","Under the Sign of the Black Mark",1987
"Ministry","ΚΕΦΑΛΗΞΘ",1992
"At the Gates","Slaughter of the Soul",1995
"Voivod","Dimension Hatröss",1988
"Meshuggah","Destroy Erase Improve",1995
"Twisted Sister","Stay Hungry",1984
"Morbid Angel","Covenant",1993
"Venom","Welcome to Hell",1981
"Scorpions","Blackout",1982
"Isis","Oceanic",2002
"Living Colour","Vivid",1988
"Death","Human",1991
"Soundgarden","Louder Than Love",1989
"Marilyn Manson","Portrait of an American Family",1994
"Queensrÿche","Operation: Mindcrime",1988
"Deftones","White Pony",2000
"Faith No More","Angel Dust",1992
"Godflesh","Streetcleaner",1989
"Sodom","Agent Orange",1989
"Sleep","Jerusalem",1999
"Converge","Jane Doe",2001
"Melvins","Bullhead",1991
"Napalm Death","From Enslavement to Obliteration",1988
"Life of Agony","River Runs Red",1993
"Emperor","Anthems to the Welkin at Dusk",1997
"The Dillinger Escape Plan","Calculating Infinity",1999
"Opeth","Blackwater Park",2001
"Helmet","Meantime",1992
"Type O Negative","Bloody Kisses",1993
"Def Leppard","Pyromania",1983
"Carcass","Heartwork",1993
"Slipknot","Iowa",2001
"Neurosis","Through Silver in Blood",1996
"Rainbow","Rising",1976
"Slayer","South of Heaven",1988
"Mastodon","Leviathan",2004
"Exodus","Bonded by Blood",1985
"Mötley Crüe","Shout at the Devil",1983
"Judas Priest","Stained Class",1978
"Diamond Head","Lightning to the Nations",1980
"Kyuss","Blues for the Red Sun",1992
"Mayhem","De mysteriis Dom Sathanas",1994
"Pantera","Far Beyond Driven",1994
"Iron Maiden","Powerslave",1984
"Black Sabbath","Heaven and Hell",1980
"Van Halen","Women and Children First",1980
"Metallica","Kill 'Em All",1983
"Black Sabbath","Master of Reality",1971
"Megadeth","Countdown to Extinction",1992
"Black Sabbath","Sabotage",1975
"Slayer","Seasons in the Abyss",1990
"Korn","Korn",1994
"Sepultura","Chaos A.D.",1993
"Celtic Frost","Morbid Tales",1984
"System of a Down","Toxicity",2001
"Alice in Chains","Dirt",1992
"Metallica","Metallica",1991
"Rage Against the Machine","Rage Against the Machine",1992
"Danzig","Danzig",1988
"Mötley Crüe","Too Fast for Love",1981
"Metallica","...And Justice for All",1988
"Anthrax","Among the Living",1987
"Megadeth","Rust in Peace",1990
"Tool","Ænima",1996
"Mercyful Fate","Melissa",1983
"Dio","Holy Diver",1983
"Ozzy Osbourne","Diary of a Madman",1981
"Black Sabbath","Black Sabbath Vol. 4",1972
"Iron Maiden","Iron Maiden",1980
"Judas Priest","Screaming for Vengeance",1982
"Metallica","Ride the Lightning",1984
"Pantera","Vulgar Display of Power",1992
"Ozzy Osbourne","Blizzard of Ozz",1980
"Megadeth","Peace Sells... But Who's Buying?",1986
"Motörhead","No Remorse",1984
"Slayer","Reign in Blood",1986
"Black Sabbath","Black Sabbath",1970
"Iron Maiden","The Number of the Beast",1982
"Judas Priest","British Steel",1980
"Metallica","Master of Puppets",1986
"Black Sabbath","Paranoid",1970
