artist,title,year
"21 Savage & Metro Boomin","Savage Mode",2016
"2Pac","All Eyez on Me",1996
"2Pac","Me Against the World",1995
"50 Cent","Get Rich or Die Tryin'",2003
"A Tribe Called Quest","Midnight Marauders",1993
"A Tribe Called Quest","People's Instinctive Travels and the Paths of Rhythm",1990
"A Tribe Called Quest","The Low End Theory",1991
"A$AP Rocky","LiveLoveA$AP",2011
"Above the Law","Black Mafia Life",1993
"Afrika Bambaataa","Looking for the Perfect Beat 1980-1985",2001
"Azealia Banks","Broke With Expensive Taste",2014
"Beastie Boys","Licensed to Ill",1986
"Beastie Boys","Paul's Boutique",1989
"Big Daddy Kane","Long Live the Kane",1988
"Big K.R.I.T.","K.R.I.T Wuz Here",2010
"Big L","Lifestylez ov da Poor & Dangerous",1995
"Big Pun","Capital Punishment",1998
"Biz Markie","Goin' Off",1988
"Black Moon","Enta da Stage",1993
"Black Sheep","A Wolf in Sheep's Clothing",1991
"Black Star","Mos Def & Talib Kweli Are Black Star",1998
"Bone Thugs-n-Harmony","E. 1999 Eternal",1995
"Boogie Down Productions","By All Means Necessary",1988
"Boogie Down Productions","Criminal Minded",1987
"Brand Nubian","One for All",1990
"Cam'ron","Purple Haze",2004
"Camp Lo","Uptown Saturday Night",1997
"Cannibal Ox","The Cold Vein",2001
"Capone-n-Noreaga","The War Report",1997
"Cardi B","Invasion of Privacy",2018
"Chance the Rapper","Acid Rap",2013
"Chance the Rapper","Coloring Book",2016
"Chief Keef","Finally Rich",2012
"Childish Gambino","Because the Internet",2013
"City Girls","PERIOD",2018
"Clipse","Hell Hath No Fury",2006
"Clipse","Lord Willin'",2002
"Common","Be",2005
"Common","Like Water for Chocolate",2000
"Company Flow","Funcrusher Plus",1997
"CupcakKe","Ephorize",2018
"Cypress Hill","Cypress Hill",1991
"Danny Brown","XXX",2011
"De La Soul","3 Feet High and Rising",1989
"De La Soul","Buhloone Mindstate",1993
"De La Soul","De La Soul Is Dead",1991
"Devin the Dude","Just Tryin' ta Live",2002
"Digable Planets","Blowout Comb",1994
"Digital Underground","Sex Packets",1990
"DJ Quik","Quik Is the Name",1991
"DJ Screw","3 'n the Mornin': Part Two",1995
"DJ Shadow","Endtroducing.....",1996
"DMX","It's Dark and Hell Is Hot",1998
"Doja Cat","Planet Her",2021
"Dr. Dre","2001",1999
"Dr. Dre","The Chronic",1992
"Dr. Octagon","Dr. Octagon",1996
"Drake","If You're Reading This It's Too Late",2015
"Drake","Take Care",2011
"Drakeo the Ruler","Cold Devil",2017
"E-40","In a Major Way",1995
"Earl Sweatshirt","Some Rap Songs",2018
"Eazy-E","Eazy-Duz-It",1988
"Eminem","The Marshall Mathers LP",2000
"Eminem","The Slim Shady LP",1999
"EPMD","Strictly Business",1988
"Eric B. & Rakim","Follow the Leader",1988
"Eric B. & Rakim","Paid In Full",1987
"Eve","Scorpion",2001
"Flo Milli","Ho, Why Is You Here?",2020
"Freddie Gibbs & Madlib","Bandana",2019
"Fugees","The Score",1996
"Future","DS2",2015
"Gang Starr","Hard to Earn",1994
"Genius/GZA","Liquid Swords",1995
"Geto Boys","We Can't Be Stopped",1991
"Ghostface Killah","Fishscale",2006
"Ghostface Killah","Ironman",1996
