artist,title,year
"Dead Kennedys","Fresh Fruit for Rotting Vegetables",1980
"Devo","Q: Are We Not Men? A: We Are Devo!",1978
"White Lung","Deep Fantasy",2014
"blink-182","Enema of the State",1999
"Crass","Penis Envy",1981
"Fugazi","13 Songs",1989
"Joy Division","Unknown Pleasures",1979
"The Slits","Cut",1979
"Misfits","Walk Among Us",1982
"Yeah Yeah Yeahs","Fever to Tell",2003
"Sonic Youth","EVOL",1986
"The Replacements","Sorry Ma, Forgot to Take Out the Trash",1981
"Germs","(GI)",1979
"Minor Threat","Complete Discography",1989
"Flipper","Album: Generic Flipper",1982
"Mission of Burma","Vs.",1982
"The Jam","All Mod Cons",1978
"Pere Ubu","Terminal Tower",1985
"Bikini Kill","The Singles",1998
"Richard Hell & The Voidoids","Blank Generation",1977
"X-Ray Spex","Germfree Adolescents",1978
"Bad Brains","Bad Brains",1982
"Green Day","Dookie",1994
"Television","Marquee Moon",1977
"Descendents","Milo Goes to College",1982
"New York Dolls","New York Dolls",1973
"Sleater-Kinney","Dig Me Out",1997
"Hüsker Dü","Zen Arcade",1984
"Patti Smith","Horses",1975
"Buzzcocks","Singles Going Steady",1979
"Nirvana","Nevermind",1991
"X","Los Angeles",1980
"Black Flag","Damaged",1981
"Minutemen","Double Nickels on the Dime",1984
"Wire","Pink Flag",1977
"Gang of Four","Entertainment!",1979
"The Stooges","Fun House",1970
"Sex Pistols","Never Mind the Bollocks Here's the Sex Pistols",1977
"The Clash","The Clash",1977
"Ramones","Ramones",1976
