artist,title,year
"Aaliyah","Aaliyah",2001
"Ali Farka Touré & Toumani Diabaté","In the Heart of the Moon",2005
"Alicia Keys","Songs in A Minor",2001
"Amy Winehouse","Back to Black",2006
"Amy Winehouse","Frank",2003
"Antony and the Johnsons","I Am a Bird Now",2005
"Arcade Fire","Funeral",2004
"Arctic Monkeys","Whatever People Say I Am, That's What I'm Not",2006
"At the Drive-In","Relationship of Command",2000
"Beyoncé","Beyoncé",2013
"Beyoncé","Lemonade",2016
"Björk","Vespertine",2001
"Bon Iver","For Emma, Forever Ago",2007
"Britney Spears","Blackout",2007
"Burial","Untrue",2007
"Cannibal Ox","The Cold Vein",2001
"Charli XCX","Pop 2",2017
"Chromatics","Kill for Love",2012
"Clipse","Hell Hath No Fury",2006
"D'Angelo and The Vanguard","Black Messiah",2014
"D'Angelo","Voodoo",2000
"Daft Punk","Discovery",2001
"David Bowie","Blackstar",2016
"Deftones","White Pony",2000
"Dizzee Rascal","Boy in da Corner",2003
"Drake","Take Care",2011
"Elliott Smith","Figure 8",2000
"Eminem","The Marshall Mathers LP",2000
"Erykah Badu","New Amerykah Part One: 4th World War",2008
"Fiona Apple","The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do",2012
"Fleet Foxes","Fleet Foxes",2008
"Frank Ocean","Blonde",2016
"Frank Ocean","channel ORANGE",2012
"Frank Ocean","Nostalgia, Ultra.",2011
"Grimes","Art Angels",2015
"Grimes","Visions",2012
"Interpol","Turn on the Bright Lights",2002
"J Dilla","Donuts",2006
"Janelle Monáe","The ArchAndroid",2010
"Jay-Z","The Black Album",2003
"Jay-Z","The Blueprint",2001
"Jens Lekman","Night Falls Over Kortedala",2007
"Joanna Newsom","Ys",2006
"John Grant","Queen of Denmark",2010
"Justin Timberlake","Justified",2002
"Kanye West","Late Registration",2005
"Kanye West","My Beautiful Dark Twisted Fantasy",2010
"Kanye West","The College Dropout",2004
"Kanye West","Yeezus",2013
"Katy B","On a Mission",2011
"Kelis","Tasty",2003
"Kendrick Lamar","Damn.",2017
"Kendrick Lamar","good kid, m.A.A.d city",2012
"Kendrick Lamar","To Pimp a Butterfly",2015
"Konono N°1","Congotronics",2005
"Lady Gaga","The Fame",2008
"Lana Del Rey","Born to Die",2012
"LCD Soundsystem","Sound of Silver",2007
"Lily Allen","Alright, Still",2006
"Low","Things We Lost in the Fire",2001
"M.I.A.","Arular",2005
"M.I.A.","Kala",2007
"Madvillain","Madvillainy",2004
"Missy Elliott","Miss E ...So Addictive",2001
"N*E*R*D","In Search Of...",2002
"Nick Cave & The Bad Seeds","Skeleton Tree",2016
"OutKast","Speakerboxxx / The Love Below",2003
"OutKast","Stankonia",2000
"Peaches","The Teaches of Peaches",2000
"PJ Harvey","Let England Shake",2011
"PJ Harvey","Stories From the City, Stories From the Sea",2000
"Portishead","Third",2008
"PRMLSCRM","XTRMNTR",2000
"Radiohead","In Rainbows",2007
"Radiohead","Kid A",2000
"Rihanna","ANTI",2016
"Robyn","Body Talk",2010
"Róisín Murphy","Ruby Blue",2005
"Rokia Traoré","Tchamantché",2008
"Salif Keita","Moffou",2002
"Sleater-Kinney","The Woods",2005
"St. Vincent","St. Vincent",2014
"St. Vincent","Strange Mercy",2011
"Sufjan Stevens","Carrie & Lowell",2015
"Taylor Swift","1989",2014
"The Avalanches","Since I Left You",2000
"The Bug","London Zoo",2008
"The Knife","Silent Shout",2006
"The Microphones","The Glow Pt. 2",2001
"The National","Boxer",2007
"The Streets","Original Pirate Material",2002
"The Strokes","Is This It",2001
"The War on Drugs","Lost in the Dream",2014
"The White Stripes","Elephant",2003
"The xx","xx",2009
"Vampire Weekend","Modern Vampires of the City",2013
"Vampire Weekend","Vampire Weekend",2008
"Wild Beasts","Two Dancers",2009
"Yeah Yeah Yeahs","Fever to Tell",2003
"Yo La Tengo","And Then Nothing Turned Itself Inside-Out",2000
